l’argent;money, silver
un café;a coffee
un café au lait;a coffee with milk
un centime;a cent
un chocolat chaud;a hot chocolate
un coca light;a diet Coke, a diet cola
un demi;a draft beer
un euro;a euro
un expresso;an espresso
un jus de fruit;a fruit juice
un jus d’orange;an orange juice
un Orangina;an Orangina
un sandwich au fromage;a cheese sandwich
un sandwich au jambon;a ham sandwich
un serveur;a server
un thé au citron;a tea with lemon
un verre de vin blanc;a glass of white wine
un verre de vin rouge;a glass of red wine
une bière;a beer
une boisson;a drink, a beverage
une eau minérale;a mineral water
des frites;some fries
la monnaie;change
une serveuse;a server
quarante;forty
quarante et un;forty-one
cinquante;fifty
cinquante et un;fifty-one
soixante;sixty
soixante et un;sixty-one
soixante-dix;seventy
soixante et onze;seventy-one
quatre-vingts;eighty
quatre-vingt-un;eighty-one
quatre-vingt-dix;ninety
quatre-vingt-onze;ninety-one
cent;one hundred
Ça fait combien?;How much is it?
Ça fait... euros.;That makes... euros.
C’est combien?;How much is it?
chaud;hot (masculine)
chaude;hot (feminine)
commander;to order (food and drink)
J’ai faim.;I’m hungry.
Je n’ai pas faim.;I’m not hungry.
J’ai soif.;I’m thirsty.
Je n’ai pas soif.;I’m not thirsty.
payer;to pay
Qu’est-ce que vous allez prendre?;What are you going to have?
Vous désirez?;What would you like?
Je vais prendre;I’m going to have
Je voudrais;I would like
Pour moi... s’il vous plaît.;For me... please.
voici;here is, here are
voilà;there is, there are
votre;your
vos;your (plural)
