un autoportrait;a self-portrait
Vous êtes?;Are you?
Je suis;I am
Je ne suis pas;I am not
américain;American
canadien;Canadian
de;from
d’ici;from here
étudiant;a student
professeur;a professor
Vous habitez?;Do you live?
J’habite;I live
Je n’habite pas;I do not live
à;in (city)
avec ma famille;with my family
avec un ami;with a friend
avec un camarade de chambre;with a roommate
avec un colocataire;with a housemate
seul;alone
Vous parlez?;Do you speak?
Je parle;I speak
Je ne parle pas;I do not speak
anglais;English
espagnol;Spanish
français;French
beaucoup;a lot
en cours;in class
Je pense que le français est;I think that French is
un peu difficile;a little difficult, hard
assez facile;fairly easy
intéressant;interesting
super;great
assez cool;pretty cool
Vous travaillez?;Do you work?
Je travaille;I work
Je ne travaille pas;I do not work
pour;for
à l’université;at the university
ici;here
maintenant;now
mais;but
non;no
oui;yes
parce que;because
l’heure;the time
une heure;an hour
Quelle heure est-il?;What time is it?
Il est une heure;It’s one o’clock
deux heures;two o’clock
midi;noon
minuit;midnight
et quart;a quarter past
et demie;half past
moins le quart;a quarter till
À quelle heure?;At what time?
à un heure;at one o’clock
du matin;in the morning
de l’après-midi;in the afternoon
du soir;in the evening
Le cours de français est tous les jours;French class is everyday
Le cours de français est de un heur à tres heurs;French class is from one to tree
Le cours de français commence à un heur;French class starts at one
Le cours de français finit à un heur;French class finishes at one
