l’allemand;German
l’anglais;English
les arts;the arts
le basket;basketball
le commerce;business
un cours en ligne;an online course
les devoirs;homework
l’espagnol;Spanish
un examen;an exam
le français;French
un labo de langues;a language lab
un laboratoire de langues;a language lab
le marketing;marketing
le théâtre;theater, drama
la bio;biology
la biologie;biology
la chimie;chemistry
la compta;accounting
la comptabilité;accounting
une fête;a party
l’histoire;history
l’informatique;computer science
une langue;a language
la littérature classique;classical literature
les mathématiques;mathematics
les maths;math
la musique;music
la peinture;painting
la philo;philosophy
la philosophie;philosophy
la physique;physics
la psycho;psychology
la psychologie;psychology
une salle d’informatique;a computer lab
les sciences;the sciences
les sciences humaines;the social sciences
les sciences politiques;political science, government
les technologies;technical courses, technologies
Comment sont ...?;What are ... like?
Est-ce que vous aimez ...?;Do you like ...?
J’aime beaucoup;I like a lot
J’aime assez;I like somewhat
Je n’aime pas;I don’t like
Je n’aime pas du tout;I don’t like at all
Je préfère;I prefer
Qu’est-ce que vous étudiez?;What are you studying?, What do you study?
Qu’est-ce que tu étudies?;What are you studying?, What do you study?
J’étudie;I’m studying, I study
Je n’étudie pas;I’m not studying, I don’t study
en ligne;online
le;the
la;the
l';the
les;the
leur;their
leurs;their
