Allons au cinéma!;Let’s go to the movies!
Allons au café!;Let’s go to the café!
J’aime;I like
Je préfère;I prefer
Je voudrais;I would like
aller en boîte de nuit;to go to a nightclub
aller au café;to go to the café
aller au cinéma;to go to the movies
bricoler;to do handiwork
danser;to dance
dîner au restaurant;to have dinner at a restaurant
dormir;to sleep
écouter la radio;to listen to the radio
écouter de la musique;to listen to the music
écrire un mail;to write an e-mail
envoyer un texto;to send a text message
faire;to do, to make
faire de l’exercice;to exercise
faire du jogging;to jog, to go jogging
faire du ski;to ski, to go skiing
faire du sport;to play sports
faire du vélo;to ride a bike
faire quelque chose;to do something
inviter des amis à la maison;to invite friends to the house
jouer à des jeux vidéo;to play video games
jouer au baseball;to play baseball
jouer au basket;to play basketball
jouer au football;to play soccer
jouer au football américain;to play football
jouer au golf;to play golf
jouer au tennis;to play tennis
jouer au volley;to play volleyball
jouer du piano;to play piano
jouer de la batterie;to play drums
jouer de la guitare;to play guitar
lire;to read
parler au téléphone;to talk on the phone
prendre un verre;to have a drink
regarder la télévision;to watch TV
regarder une vidéo;to watch a video
regarder un DVD;to watch a DVD
rester à la maison;to stay home
sortir avec des amis;to go out with friends
surfer sur Internet;to surf the Net
travailler sur l’ordinateur;to work on the computer
voir un film;to see a movie
On va?;Shall we go?
Qu’est-ce que vous aimez faire?;What do you like to do?
Qu’est-ce que vous voudriez faire?;What would you like to do?
Tu voudrais?;Would you like?
À ce soir!;See you this evening!
après les cours;after class
Çateditde?;Would you feel like?
Çavousditde?;Would you feel like?
D’accord!;Okay!
un loisir;a leisure activity, a pastime
Pourquoi pas?;Why not?
quelque chose;something
le temps libre;free time
Tu es libre ce soir?;Are you free this evening?
vers;about, around, toward
vraiment;really, truly
